ID,Name,Severity,Link,AssetName,ImageId,Package Name,Package Version,Fixed Version,Vulnerability ID,CVE Score,Image Tag,Registry,Scan Date,Status
11111111-1111-5111-1111-111111111111,CVE-2024-55321,Critical,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-55321,docker.io/library/nginx@sha256:1a2b3c4d,sha256:1a2b3c4d5e6f7g8h9i0j1k2l3m4n5o6p7q8r9s0t1u2v3w4x5y6z,openssl,1.1.1k,1.1.1w,CVE-2024-55321,9.8,1.21-alpine,Docker Hub,2025-11-20,Open
22222222-2222-5222-2222-222222222222,CVE-2024-47561,High,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-47561,docker.io/library/redis@sha256:9f8e7d6c,sha256:9f8e7d6c5b4a392817161514131211109,redis,7.0.12,7.0.15,CVE-2024-47561,8.8,7.0-alpine,Docker Hub,2025-11-19,Open
33333333-3333-5333-a333-333333333333,CVE-2024-55512,Critical,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-55512,public.ecr.aws/bitnami/postgresql@sha256:a1b2c3d4,sha256:a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q,libcrypto,1.1.1t,1.1.1x,CVE-2024-55512,9.9,16-alpine,AWS ECR,2025-11-21,Open
44444444-4444-5444-b444-444444444444,CVE-2025-11234,High,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2025-11234,ghcr.io/myorg/backend@sha256:f1e2d3c4,sha256:f1e2d3c4b5a69788796a5b4c3d2e1f,golang,1.21.5,1.22.8,CVE-2025-11234,8.2,latest,GitHub CR,2025-11-18,Open
55555555-5555-5555-c555-555555555555,CVE-2024-39841,Critical,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-39841,docker.io/library/node@sha256:abc12345,sha256:abc1234567890abcdef1234567890abc,node,20.11.0,20.12.0,CVE-2024-39841,9.7,20-alpine,Docker Hub,2025-11-20,Open
66666666-6666-5666-d666-666666666666,CVE-2024-45678,High,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-45678,docker.io/library/python@sha256:def67890,sha256:def67890123456789012345678901234,libssl,1.1.1q,1.1.1z,CVE-2024-45678,8.6,3.11-slim,Docker Hub,2025-11-17,Open
77777777-7777-5777-e777-777777777777,CVE-2025-00145,Critical,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2025-00145,quay.io/prometheus/prometheus@sha256:123abcde,sha256:123abcde4567f8901234abcde5678901,glibc,2.34,2.39,CVE-2025-00145,9.8,v2.47.1,Quay.io,2025-11-21,Open
88888888-8888-5888-f888-888888888888,CVE-2024-51234,High,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-51234,docker.io/library/nginx@sha256:98765432,sha256:9876543210fedcba9876543210fedcba,nginx,1.25.3,1.25.5,CVE-2024-51234,8.1,1.25-alpine,Docker Hub,2025-11-19,Open
99999999-9999-5999-1999-999999999999,CVE-2024-47123,Medium,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-47123,public.ecr.aws/myapp/frontend@sha256:xyz98765,sha256:xyz9876543210fedcba9876543210fed,libcurl,8.4.0,8.5.0,CVE-2024-47123,6.5,v1.4.2,AWS ECR,2025-11-20,Open
aaaaaaaa-bbbb-5aaa-aaaa-bbbbbbbbbbbb,CVE-2025-22341,Critical,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2025-22341,docker.io/library/alpine@sha256:k9j8h7g6,sha256:k9j8h7g6f5e4d3c2b1a0987654321abc,apk-tools,2.14.0,2.14.4,CVE-2025-22341,9.6,3.19,Docker Hub,2025-11-18,Open
bbbbbbbb-cccc-5bbb-bbbb-cccccccccccc,CVE-2024-48901,High,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-48901,ghcr.io/company/api@sha256:m5n4b3v2,sha256:m5n4b3v2c1x9z8l7k6j5h4g3f2d1s0a9,libc6,2.36,2.38,CVE-2024-48901,8.7,latest,GitHub CR,2025-11-21,Open
cccccccc-dddd-5ccc-cccc-dddddddddddd,CVE-2024-50012,Critical,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-50012,docker.io/library/mongo@sha256:poiuytre,sha256:poiuytrewqasdfghjklzxcvbnmlkjhgfd,mongodb,7.0.2,7.0.5,CVE-2024-50012,9.9,7.0,Docker Hub,2025-11-20,Open
